id,institution,title,job_category,job_type,institution_type,aos,aoc,location,state,country,city,workload,vacancies,deadline,start_date,posted_date,status,url,scraped_date
30670,"Department of Philosophy, University of Hong Kong",Assistant Lecturer,Junior faculty / Fixed term,Adjunct/Visiting,Research University,"Open, but see advertisement",Open,"Hong Kong, Run Run Shaw, Hong Kong",,Hong Kong,,Full time,1,"March 31, 2026, 11:59pm HKT",Fall 2026,"January 13, 2026, 4:55pm UTC",active,https://philjobs.org/job/show/30670,2026-03-10T02:48:22.851397
30654,"Department of Philosophy, Mount Allison University",Assistant Professor,Visiting fellowship / Professorship / Fixed term,Tenure-track,Research University,Ancient Philosophy,Ethics / Open,"Sackville, New Brunswick, Canada",,Canada,,Full time,1,"April 13, 2026, 11:59pm AST","August 1, 2026","January 9, 2026, 3:22pm UTC",active,https://philjobs.org/job/show/30654,2026-03-10T02:48:23.555127
30609,University of Texas at San Antonio,"Associate or Full Professor, Artificial Intelligence for Education Cluster",Senior faculty / Tenure-track or similar,Tenure-track,Research University,Artificial Intelligence,Open,"San Antonio, Texas, United States",TX,United States,San Antonio,Full time,1,No deadline specified (applications considered on an ongoing basis),,"January 8, 2026, 7:34pm UTC",active,https://philjobs.org/job/show/30609,2026-03-10T02:48:24.310067
30610,"Department of Philosophy, University of Nebraska, Lincoln",Visiting Faculty,Junior faculty / Fixed term,Adjunct/Visiting,Research University,Ancient or Early Modern Philosophy,Ancient and Early Modern Philosophy,"Lincoln, Nebraska, United States",NE,United States,Lincoln,Full time,1,No deadline specified (applications considered on an ongoing basis),8/17/2026,"January 5, 2026, 10:31pm UTC",active,https://philjobs.org/job/show/30610,2026-03-10T02:48:25.015267
30585,"Department of Philosophy, Marian University","Assistant Professor of Philosophy, Tenure-Track",Junior faculty / Tenure-track or similar,Tenure-track,Research University,Ethics,Open,"Indianapolis, Indiana, United States",IN,United States,Indianapolis,Full time,1,No deadline specified (applications considered on an ongoing basis),,"December 17, 2025, 10:31pm UTC",active,https://philjobs.org/job/show/30585,2026-03-10T02:48:25.733124
30581,"Department of Philosophy, Yale University","Postdoctoral Associate and Lecturer, Social and Political Issues in Metaphysics, Epistemology, or Philosophy of Language",Postdoc or similar / Fixed term,Postdoc,Research University,"Social and Political Issues in Metaphysics, and/or Epistemology, and/or Philosophy of Language",Open,"New Haven, Connecticut, United States",CT,United States,New Haven,Full time,1,No deadline specified (applications considered on an ongoing basis),"July 1, 2026","December 17, 2025, 10:30pm UTC",active,https://philjobs.org/job/show/30581,2026-03-10T02:48:26.432273
30573,"Division of Humanities, New College of Florida",Visiting Assistant Professor of Philosophy,Junior faculty / Fixed term,Tenure-track,Research University,"History of philosophy, with expertise in early modern European philosophy and the history of science through primary sources.",Open,"Sarasota, Florida, United States",FL,United States,Sarasota,Full time,1,"March 23, 2026, 11:59pm EST",Fall 2026,"December 17, 2025, 10:20pm UTC",active,https://philjobs.org/job/show/30573,2026-03-10T02:48:27.138786
30561,"Department of Economics, University of Zürich",Postdoc,Postdoc or similar / Fixed term,Postdoc,Research University,Population ethics,Population ethics,"Zürich, Zürich, Switzerland",,Switzerland,,Full time,1,No deadline specified (applications considered on an ongoing basis),August 2026,"December 17, 2025, 10:00pm UTC",active,https://philjobs.org/job/show/30561,2026-03-10T02:48:27.858215
30566,"Research & Training Alliance, University of Toronto – Hebrew University of Jerusalem","Postdoctoral Fellowships in Practical Philosophy, Normativity, and Law",Postdoc or similar / Fixed term,Postdoc,Research University,Open,Open,"Toronto/Jerusalem, Canada/Israel, Canada",,Canada,,Full time,1,No deadline specified (applications considered on an ongoing basis),Fellowships will commence no later than October 2026.,"December 16, 2025, 10:27pm UTC",active,https://philjobs.org/job/show/30566,2026-03-10T02:48:28.560970
30538,"Department of Philosophy, Wuhan University","Professor, Editor-in-Chief",Senior faculty / Tenure-track or similar,Tenure-track,Research University,Social and Political Philosophy,Open,"Wuhan, Hubei, China",,China,,Full time,1,No deadline specified (applications considered on an ongoing basis),Flexible,"December 12, 2025, 9:07pm UTC",active,https://philjobs.org/job/show/30538,2026-03-10T02:48:29.270365
30546,"Department of Philosophy, Michigan State University",W.K. Kellogg Endowed Chair and Professor,"Faculty (open rank) / Tenured, continuing or permanent",Tenured,Research University,"Agriculture, Food Systems, Sustainability, Resilience and Community","Agriculture, Food Systems, Sustainability, Resilience and Community","East Lansing, Michigan, United States",MI,United States,East Lansing,Full time,1,No deadline specified (applications considered on an ongoing basis),,"December 12, 2025, 9:05pm UTC",active,https://philjobs.org/job/show/30546,2026-03-10T02:48:29.974069
30513,Bentley University,"Endowed Bartlett Chair Professor/Associate Professor, Free Speech and Free Enterprise","Senior faculty / Tenured, continuing or permanent",Tenured,Research University,Social and Political Philosophy,Social and Political Philosophy,"Waltham, Massachusetts, United States",MA,United States,Waltham,Full time,1,"August 1, 2027, 11:59pm EST",,"December 10, 2025, 10:07pm UTC",active,https://philjobs.org/job/show/30513,2026-03-10T02:48:30.684665
30519,"The Prindle Institute for Ethics, DePauw University","Manager, Campus Ethics Programs","Administration (non-academic) / Tenured, continuing or permanent",Tenured,Research University,"Ethics, Public Philosophy",Open,"Greencastle, Indiana, United States",IN,United States,Greencastle,Full time,1,No deadline specified (applications considered on an ongoing basis),"August 1, 2026","December 10, 2025, 10:06pm UTC",active,https://philjobs.org/job/show/30519,2026-03-10T02:48:31.405711
30526,"The Center for Practical Ethics, University of Mississippi",Postdoc in the Ethics of AI and Emerging Technologies,Postdoc or similar / Fixed term,Postdoc,Research University,Applied Ethics and Philosophy of Technology,Open,"Oxford, Mississippi, United States",MS,United States,Oxford,Full time,1,"Yesterday, 11:59pm CST",August 2026,"December 10, 2025, 10:00pm UTC",active,https://philjobs.org/job/show/30526,2026-03-10T02:48:32.112367
30477,"Religious Studies Program, Union College","Dona and Marshall Robinson Assistant Professor in Science, Philosophy and Religion",Junior faculty / Tenure-track or similar,Tenure-track,Research University,"History and Philosophy of Science, Philosophy of Religion","Philosophy of Religion, Philosophy of Science","Schenectady, New York, United States",NY,United States,Schenectady,Full time,1,No deadline specified (applications considered on an ongoing basis),Seoptember 2026,"December 2, 2025, 10:32pm UTC",active,https://philjobs.org/job/show/30477,2026-03-10T02:48:32.836534
30469,"Department of Philosophy and Religion, Northeastern University",Assistant Professor/ Associate Professor/ Full Professor,Faculty (open rank) / Tenure-track or similar,Tenure-track,Research University,"Philosophy, Science and Technology Studies, Bioethics or a related field",Health,"Boston, Massachusetts, United States",MA,United States,Boston,Full time,1,No deadline specified (applications considered on an ongoing basis),"August 17, 2026","December 2, 2025, 10:31pm UTC",active,https://philjobs.org/job/show/30469,2026-03-10T02:48:33.542049
30461,"School of Humanities, the University of Hong Kong",Professor/Associate Professor on tenure terms or tenure-track Assistant Professor in Philosophy,Faculty (open rank) / Contract type open,Tenure-track,Research University,Open,Open,"The University of Hong Kong, Pokfulam, Hong Kong",,Hong Kong,,Full time,1,"April 30, 2026, 11:59pm HKT",,"December 2, 2025, 10:28pm UTC",active,https://philjobs.org/job/show/30461,2026-03-10T02:48:34.256472
30457,"Alden March Bioethics Institute, Albany Medical Collegenot BA-granting",Clinical Ethics Fellow,Graduate fellowship / Fixed term,Postdoc,Research University,Clinical Ethics,Open,"Albany, New York, United States",NY,United States,Albany,Full time,1,No deadline specified (applications considered on an ongoing basis),July 2026,"December 1, 2025, 10:26pm UTC",active,https://philjobs.org/job/show/30457,2026-03-10T02:48:34.971179
30430,"Department of Classical and Letters, University of Oklahoma",Sanders Chair in Law and Liberty,"Senior faculty / Tenured, continuing or permanent",Tenured,Research University,Open,Open,"Norman, Oklahoma, United States",OK,United States,Norman,Full time,1,No deadline specified (applications considered on an ongoing basis),,"December 1, 2025, 10:19pm UTC",active,https://philjobs.org/job/show/30430,2026-03-10T02:48:35.670254
30410,"Department of Philosophy, Loyola University, Chicago","Philosophy, Lecturer (General), Non-Tenure Track","Junior faculty / Tenured, continuing or permanent",Tenure-track,Research University,Open,Open,"Chicago, Illinois, United States",IL,United States,Chicago,Full time,1,No deadline specified (applications considered on an ongoing basis),08/10/2026,"November 25, 2025, 10:04pm UTC",active,https://philjobs.org/job/show/30410,2026-03-10T02:48:36.379603
30414,"Department of Philosophy, California State University, Fresno",Assistant Professor,Junior faculty / Tenure-track or similar,Tenure-track,Research University,Philosophy and Law,Epistemology and/or Logic,"Fresno, California, United States",CA,United States,Fresno,Full time,1,"March 31, 2026, 11:59pm PST",Fall 2026,"November 25, 2025, 10:04pm UTC",active,https://philjobs.org/job/show/30414,2026-03-10T02:48:37.091592
30309,"Center for the Decentralization of Power Through Blockchain Technology, Princeton University",Princeton DeCenter Postdoctoral Fellowships,Postdoc or similar / Fixed term,Postdoc,Research University,Open,Open,"Princeton, New Jersey, United States",NJ,United States,Princeton,Full time,1,No deadline specified (applications considered on an ongoing basis),09/01/2026,"November 24, 2025, 8:31pm UTC",active,https://philjobs.org/job/show/30309,2026-03-10T02:48:37.810418
30386,"Parr Center for Ethics, Philosophy Department, University of North Carolina, Chapel Hill","Postdoctoral Fellow, Educating for the Virtues of Attention (EVA)",Postdoc or similar / Fixed term,Postdoc,Research University,"Philosophy of attention preferred. Specializations in intellectual virtue, character development, or closely related areas also considered. Applicants working in areas relevant to attentional literacy or the cultivation of attentional virtues are especially encouraged to apply.",Teaching competence in ethics is desirable.,"Chapel Hill, North Carolina, United States",NC,United States,Chapel Hill,Full time,1,No deadline specified (applications considered on an ongoing basis),,"November 20, 2025, 8:47pm UTC",active,https://philjobs.org/job/show/30386,2026-03-10T02:48:38.630703
30374,"The Smith Institute for Political Economy and Philosophy, Chapman University",Postdoctoral Fellowship in the Smith Institute,Postdoc or similar / Fixed term,Postdoc,Research University,"Open, but specializations complementary to PPE preferred",Open,"Orange, California, United States",CA,United States,Orange,Full time,1,No deadline specified (applications considered on an ongoing basis),August 2026,"November 20, 2025, 7:14pm UTC",active,https://philjobs.org/job/show/30374,2026-03-10T02:48:39.327031
30329,"Department of Philosophy, University of Georgia",Lecturer,"Junior faculty / Tenured, continuing or permanent",Adjunct/Visiting,Research University,Philosophy of Cognitive Science and Artificial Intelligence,Open,"Athens, Georgia, United States",GA,United States,Athens,Full time,1,No deadline specified (applications considered on an ongoing basis),"August 1, 2026","November 11, 2025, 8:03pm UTC",active,https://philjobs.org/job/show/30329,2026-03-10T02:48:40.028235
30221,"Department of History and Philosophy, Kennesaw State University",Chair of the Department of History and Philosophy,"Senior faculty / Tenured, continuing or permanent",Tenured,Research University,Open,Open,"Kennesaw, Georgia, United States",GA,United States,Kennesaw,Full time,1,No deadline specified (applications considered on an ongoing basis),"July 1, 2026","November 10, 2025, 5:25pm UTC",active,https://philjobs.org/job/show/30221,2026-03-10T02:48:40.754583
30305,"Dietrich College of Humanities and Social Sciences, Carnegie Mellon University",Postdoctoral Fellowship,Postdoc or similar / Fixed term,Postdoc,Research University,"Open, but Phil of Math, Cog Sci, Computing, Logic, Science preferred.",Open,"Pittsburgh, Pennsylvania, United States",PA,United States,Pittsburgh,Full time,3,No deadline specified (applications considered on an ongoing basis),1 February 2026 at earliest; Fall 2026 at latest.,"November 6, 2025, 7:15pm UTC",active,https://philjobs.org/job/show/30305,2026-03-10T02:48:41.460901
30289,"Philosophy Postdoctoral Research Station, School of Philosophy,  Fudan University",Application for Postdoctoral Fellowship,Postdoc or similar / Fixed term,Postdoc,Research University,Open to all areas of philosophy,Open to all areas of philosophy,"Shanghai, Shanghai, China",,China,,Full time,4,No deadline specified (applications considered on an ongoing basis),Year-round,"November 4, 2025, 4:47pm UTC",active,https://philjobs.org/job/show/30289,2026-03-10T02:48:42.256433
30290,"Department of Philosophy, Princeton University",Louis Skolnick Postdoctoral Research Associate,Postdoc or similar / Fixed term,Postdoc,Research University,Open,Open,"Princeton, New Jersey, United States",NJ,United States,Princeton,Full time,1,No deadline specified (applications considered on an ongoing basis),September 2026,"November 3, 2025, 9:13pm UTC",active,https://philjobs.org/job/show/30290,2026-03-10T02:48:42.952619
30277,"Department of Philosophy, University of North Carolina at Charlotte",Distinguished Professor (Associate or Full),"Senior faculty / Tenured, continuing or permanent",Tenured,Research University,"Bioethics, broadly construed, with research and teaching interests in areas such as (but not limited to) medical/healthcare ethics, research ethics, public health ethics, disability ethics, reproductive ethics, environmental ethics, etc.","Open, but candidates should be prepared to teach courses in medical ethics and contribute to the interdisciplinary degree program in Health and Medical Humanities","Charlotte, North Carolina, United States",NC,United States,Charlotte,Full time,1,No deadline specified (applications considered on an ongoing basis),August 2026,"October 30, 2025, 7:46pm UTC",active,https://philjobs.org/job/show/30277,2026-03-10T02:48:43.653089
30281,"Department of Political Science and Philosophy, Indiana University South Bend",Visiting Lecturer,Visiting fellowship / Professorship / Fixed term,Postdoc,Research University,Open,Ethics and Critical Thinking,"Remote workOrganization based inSouth Bend, Indiana, United States",IN,United States,Remote workOrganization based inSouth Bend,Full time,1,No deadline specified (applications considered on an ongoing basis),"Spring 2026 (January 12, 2026)","October 30, 2025, 7:26pm UTC",active,https://philjobs.org/job/show/30281,2026-03-10T02:48:44.356069
30245,University of Alabama at Birmingham,Assistant Professor of Philosophy,Faculty (open rank) / Tenure-track or similar,Tenure-track,Research University,"applied ethics, broadly construed",Open,"Birmingham, Alabama, United States",AL,United States,Birmingham,Full time,1,No deadline specified (applications considered on an ongoing basis),,"October 28, 2025, 4:06pm UTC",active,https://philjobs.org/job/show/30245,2026-03-10T02:48:45.156342
30217,University of Scranton,"Assistant Professor, Philosophy",Junior faculty / Tenure-track or similar,Tenure-track,Research University,"Ancient Philosophy, or Philosophy of Technology, or Ethics",Open,"Scranton, Pennsylvania, United States",PA,United States,Scranton,Full time,1,No deadline specified (applications considered on an ongoing basis),August 2026,"October 27, 2025, 8:48pm UTC",active,https://philjobs.org/job/show/30217,2026-03-10T02:48:45.860009
30205,"Department of Philosophy, Texas A&M University",Assistant Professor,Junior faculty / Tenure-track or similar,Tenure-track,Research University,French and/or Francophone Phenomenology,Open,"College Station, Texas, United States",TX,United States,College Station,Full time,1,No deadline specified (applications considered on an ongoing basis),"August 1, 2026","October 22, 2025, 9:05pm UTC",active,https://philjobs.org/job/show/30205,2026-03-10T02:48:46.573531
30201,"Hobby School of Public Affairs, University of Houston",Visiting Assistant Professor - Ethics and Leadership,Visiting fellowship / Professorship / Fixed term,Tenure-track,Research University,Open,Open,"Houston, Texas, United States",TX,United States,Houston,Full time,1,No deadline specified (applications considered on an ongoing basis),September 2026,"October 22, 2025, 9:02pm UTC",active,https://philjobs.org/job/show/30201,2026-03-10T02:48:47.276171
31073,"Department of Philosophy, Ave Maria University",Professor of Philosophy,Faculty (open rank) / Fixed term,Tenured,Research University,Philosophy,Philosophy,"Mount Melleray, Ireland",,Ireland,,Full time,1,"May 12, 2026, 11:59pm IST",Fall 2026,"March 13, 2026, 9:22pm UTC",active,https://philjobs.org/job/show/31073,2026-03-16T09:54:51.345840
31081,"Division of Humanities And Social Sciences, California Institute of Technology",Postdoctoral Scholar Research Associates in the History or Philosophy of 20th Century Physics,Postdoc or similar / Fixed term,Postdoc,Research University,History or Philosophy of 20th Century Physics,"Experience with Machine Learning, AI, or Digital Humanities preferred","Pasadena, California, United States",CA,United States,Pasadena,Full time,2,"May 1, 2026, 11:59pm PST",Fall 2026,"March 13, 2026, 9:21pm UTC",active,https://philjobs.org/job/show/31081,2026-03-16T09:54:52.033234
31061,Florida International University,"Assistant Professor, Associate Professor, Professor",Faculty (open rank) / Tenure-track or similar,Tenure-track,Research University,AI Ethics,"Philosophy of science, technology, data ethics, or related areas","Miami, Florida, United States",FL,United States,Miami,Full time,1,"May 10, 2026, 11:59pm EST",Fall 2026,"March 11, 2026, 9:14pm UTC",active,https://philjobs.org/job/show/31061,2026-03-16T09:54:52.861112
31065,"Philosophy Department, Rhode Island College",Assistant Professor of Philosophy,Faculty (open rank) / Tenure-track or similar,Tenure-track,Research University,Open,Ethics and Social/Political Philosophy,"Providence, Rhode Island, United States",RI,United States,Providence,Full time,1,"March 24, 2026, 11:59pm EST",August 2026,"March 11, 2026, 9:13pm UTC",active,https://philjobs.org/job/show/31065,2026-03-16T09:54:53.668854
31069,"The Center for Philosophy of Science, University of Pittsburgh",Summer Archival Fellowship,Visiting fellowship / Professorship / Fixed term,Postdoc,Research University,History of Philosophy of Science and Philosophy of Science,History of Philosophy of Science and Philosophy of Science,"Pittsburgh, Pennsylvania, United States",PA,United States,Pittsburgh,Full time,1,"May 1, 2026, 5:00pm EST","Available for June, July, or August 2026","March 11, 2026, 9:12pm UTC",active,https://philjobs.org/job/show/31069,2026-03-16T09:54:54.473721
31053,"Department of Philosophy, King's College London",Lecturer in Philosophy of Language,Junior faculty / Fixed term,Adjunct/Visiting,Research University,Philosophy of Langauge,Open,"Strand, London, United Kingdom",,United Kingdom,,Full time,1,"April 2, 2026, 11:59pm BST",1 September 2026,"March 10, 2026, 5:44pm UTC",active,https://philjobs.org/job/show/31053,2026-03-16T09:54:55.168234
31057,"Sage School of Philosophy, Cornell University",Cornell University College of Arts & Sciences Teaching Postdoc,Postdoc or similar / Fixed term,Postdoc,Research University,Moral or Political Philosophy,Open,"Ithaca, New York, United States",NY,United States,Ithaca,Full time,1,"April 10, 2026, 11:59pm EST","August 1, 2026","March 10, 2026, 5:44pm UTC",active,https://philjobs.org/job/show/31057,2026-03-16T09:54:55.859380
